satelite,Area_Km2,Dominio_2,GRUPO_2,NOME_UC_2,Area_Km2_2,Contagem por satelite
NOAA-20,12356.154,Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154,"2745"
NPP-375,12356.154,Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154,"2556"
AQUA_M-T,12356.154,Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154,"254"
GOES-16,12356.154,Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154,"2098"
TERRA_M-M,11468.769,Estadual,Uso Sustentável,APA do Rio Preto,11468.769,"242"
MSG-03,11468.769,Estadual,Uso Sustentável,APA do Rio Preto,11468.769,"93"
AQUA_M-M,3527.315,Estadual,Uso Sustentável,APA Bacia do Rio de Janeiro,3527.315,"71"
NOAA-18D,,,,,,"41"
TERRA_M-T,,,,,,"1"
NOAA-19D,,,,,,"5"
